query_id,method,same_ids_after_list_shuffle,ordered_exact_original,ordered_exact_shuffled,raw_candidates_original,raw_candidates_shuffled
51,PostFilter-IVF,1,1,1,1244,1244
51,PACER-A,1,1,1,1,1
51,PACER-X,1,1,1,1,1
52,PostFilter-IVF,1,0,0,840,840
52,PACER-A,1,1,1,1600,1600
52,PACER-X,1,1,1,4428,4428
53,PostFilter-IVF,1,0,0,1419,1419
53,PACER-A,1,1,1,261,261
53,PACER-X,1,1,1,261,261
54,PostFilter-IVF,1,0,0,1117,1117
54,PACER-A,1,1,1,5,5
54,PACER-X,1,1,1,5,5
55,PostFilter-IVF,1,1,1,1258,1258
55,PACER-A,1,1,1,1,1
55,PACER-X,1,1,1,1,1
56,PostFilter-IVF,1,0,0,1009,1009
56,PACER-A,1,1,1,1600,1600
56,PACER-X,1,1,1,4503,4503
57,PostFilter-IVF,1,0,0,1059,1059
57,PACER-A,1,1,1,179,179
57,PACER-X,1,1,1,179,179
58,PostFilter-IVF,1,1,1,1077,1077
58,PACER-A,1,1,1,4,4
58,PACER-X,1,1,1,4,4
59,PostFilter-IVF,1,0,0,1167,1167
59,PACER-A,1,1,1,4,4
59,PACER-X,1,1,1,4,4
60,PostFilter-IVF,1,0,0,829,829
60,PACER-A,1,1,1,1600,1600
60,PACER-X,1,1,1,4412,4412
61,PostFilter-IVF,1,0,0,1051,1051
61,PACER-A,1,1,1,307,307
61,PACER-X,1,1,1,307,307
62,PostFilter-IVF,1,0,0,1071,1071
62,PACER-A,1,1,1,6,6
62,PACER-X,1,1,1,6,6
63,PostFilter-IVF,1,0,0,847,847
63,PACER-A,1,1,1,6,6
63,PACER-X,1,1,1,6,6
64,PostFilter-IVF,1,0,0,984,984
64,PACER-A,1,1,1,1600,1600
64,PACER-X,1,1,1,4234,4234
65,PostFilter-IVF,1,0,0,1009,1009
65,PACER-A,1,1,1,237,237
65,PACER-X,1,1,1,237,237
66,PostFilter-IVF,1,0,0,1115,1115
66,PACER-A,1,1,1,6,6
66,PACER-X,1,1,1,6,6
67,PostFilter-IVF,1,1,1,1288,1288
67,PACER-A,1,1,1,2,2
67,PACER-X,1,1,1,2,2
68,PostFilter-IVF,1,0,0,1142,1142
68,PACER-A,1,1,1,1600,1600
68,PACER-X,1,1,1,4368,4368
69,PostFilter-IVF,1,0,0,1177,1177
69,PACER-A,1,1,1,286,286
69,PACER-X,1,1,1,286,286
70,PostFilter-IVF,1,1,1,1202,1202
70,PACER-A,1,1,1,4,4
70,PACER-X,1,1,1,4,4
71,PostFilter-IVF,1,1,1,1332,1332
71,PACER-A,1,1,1,2,2
71,PACER-X,1,1,1,2,2
72,PostFilter-IVF,1,0,0,1166,1166
72,PACER-A,1,0,0,1600,1600
72,PACER-X,1,1,1,4544,4544
73,PostFilter-IVF,1,0,0,1159,1159
73,PACER-A,1,1,1,233,233
73,PACER-X,1,1,1,233,233
74,PostFilter-IVF,1,0,0,1046,1046
74,PACER-A,1,1,1,13,13
74,PACER-X,1,1,1,13,13
75,PostFilter-IVF,1,0,0,1217,1217
75,PACER-A,1,1,1,4,4
75,PACER-X,1,1,1,4,4
76,PostFilter-IVF,1,0,0,1113,1113
76,PACER-A,1,0,0,1600,1600
76,PACER-X,1,1,1,4733,4733
77,PostFilter-IVF,1,0,0,1205,1205
77,PACER-A,1,1,1,211,211
77,PACER-X,1,1,1,211,211
78,PostFilter-IVF,1,0,0,1299,1299
78,PACER-A,1,1,1,6,6
78,PACER-X,1,1,1,6,6
79,PostFilter-IVF,1,1,1,1018,1018
79,PACER-A,1,1,1,2,2
79,PACER-X,1,1,1,2,2
